orf,Filter Name,omcl
YLL044W,OMCL in Yeast,
YPR050C,OMCL in Yeast,
YOR309C,OMCL in Yeast,
YLR317W,OMCL in Yeast,
YOL106W,OMCL in Yeast,
YLR458W,OMCL in Yeast,
YFR054C,OMCL in Yeast,
YDR360W,OMCL in Yeast,
YJL015C,OMCL in Yeast,
YNL296W,OMCL in Yeast,
YGL069C,OMCL in Yeast,
YGR272C,OMCL in Yeast,
YBR116C,OMCL in Yeast,
YFR024C,OMCL in Yeast,
YKL162C-A,OMCL in Yeast,
YBR209W,OMCL in Yeast,
YKL111C,OMCL in Yeast,
YGR176W,OMCL in Yeast,
YNR005C,OMCL in Yeast,
YOR314W,OMCL in Yeast,
YPL136W,OMCL in Yeast,
YCR013C,OMCL in Yeast,
YLL020C,OMCL in Yeast,
YKL066W,OMCL in Yeast,
YNL276C,OMCL in Yeast,
YOR366W,OMCL in Yeast,
YNL179C,OMCL in Yeast,
YDR053W,OMCL in Yeast,
YOR248W,OMCL in Yeast,
YLR171W,OMCL in Yeast,
YKL030W,OMCL in Yeast,
YDR048C,OMCL in Yeast,
YLR366W,OMCL in Yeast,
YLR112W,OMCL in Yeast,
YOL053C-A,OMCL in Yeast,
YLR123C,OMCL in Yeast,
YDL172C,OMCL in Yeast,
YLL016W,OMCL in Yeast,
YFL035C,OMCL in Yeast,
YMR082C,OMCL in Yeast,
YDL221W,OMCL in Yeast,
YIL015C-A,OMCL in Yeast,
YIL141W,OMCL in Yeast,
YLR217W,OMCL in Yeast,
YBR206W,OMCL in Yeast,
YFL063W,OMCL in Yeast,
YMR122C,OMCL in Yeast,
YNL089C,OMCL in Yeast,
YGR160W,OMCL in Yeast,
YMR172C-A,OMCL in Yeast,
YLR338W,OMCL in Yeast,
YIL167W,OMCL in Yeast,
YOR121C,OMCL in Yeast,
YJL017W,OMCL in Yeast,
YEL008W,OMCL in Yeast,
YBR232C,OMCL in Yeast,
YLR416C,OMCL in Yeast,
YKL177W,OMCL in Yeast,
YGL214W,OMCL in Yeast,
YOL166C,OMCL in Yeast,
YGR022C,OMCL in Yeast,
YOR088W,OMCL in Yeast,
YOR053W,OMCL in Yeast,
YDL096C,OMCL in Yeast,
YPL185W,OMCL in Yeast,
YOR376W,OMCL in Yeast,
YPR038W,OMCL in Yeast,
YLR111W,OMCL in Yeast,
YGR137W,OMCL in Yeast,
YGR269W,OMCL in Yeast,
YML013C-A,OMCL in Yeast,
YMR141C,OMCL in Yeast,
YPL044C,OMCL in Yeast,
YCR064C,OMCL in Yeast,
YJL022W,OMCL in Yeast,
YLR391W,OMCL in Yeast,
YIL100W,OMCL in Yeast,
YCL062W,OMCL in Yeast,
YBL071C,OMCL in Yeast,
YAR040C,OMCL in Yeast,
YDR537C,OMCL in Yeast,
YDR509W,OMCL in Yeast,
YIL025C,OMCL in Yeast,
YLR236C,OMCL in Yeast,
YOR235W,OMCL in Yeast,
YCL012W,OMCL in Yeast,
YCL041C,OMCL in Yeast,
YHR130C,OMCL in Yeast,
YMR306C-A,OMCL in Yeast,
YJL075C,OMCL in Yeast,
YAL004W,OMCL in Yeast,
YDR102C,OMCL in Yeast,
YOL085C,OMCL in Yeast,
YHR095W,OMCL in Yeast,
YLR255C,OMCL in Yeast,
YLR402W,OMCL in Yeast,
YCL076W,OMCL in Yeast,
YDL118W,OMCL in Yeast,
YBL073W,OMCL in Yeast,
YOL099C,OMCL in Yeast,
YPL062W,OMCL in Yeast,
YGL088W,OMCL in Yeast,
YGR291C,OMCL in Yeast,
YEL010W,OMCL in Yeast,
YDR193W,OMCL in Yeast,
YJL135W,OMCL in Yeast,
YMR290W-A,OMCL in Yeast,
YMR135W-A,OMCL in Yeast,
YNL338W,OMCL in Yeast,
YML095C-A,OMCL in Yeast,
YDL068W,OMCL in Yeast,
YNR025C,OMCL in Yeast,
YOL079W,OMCL in Yeast,
YNL319W,OMCL in Yeast,
YDR015C,OMCL in Yeast,
YDR491C,OMCL in Yeast,
YDL032W,OMCL in Yeast,
YNL171C,OMCL in Yeast,
YKL102C,OMCL in Yeast,
YCR001W,OMCL in Yeast,
YPL102C,OMCL in Yeast,
YML033W,OMCL in Yeast,
YJL032W,OMCL in Yeast,
YDR024W,OMCL in Yeast,
YGR025W,OMCL in Yeast,
YDR327W,OMCL in Yeast,
YPR059C,OMCL in Yeast,
YLR252W,OMCL in Yeast,
YOR082C,OMCL in Yeast,
YGR115C,OMCL in Yeast,
YEL014C,OMCL in Yeast,
YDR134C,OMCL in Yeast,
YCR062W,OMCL in Yeast,
YBL053W,OMCL in Yeast,
YJL021C,OMCL in Yeast,
YPR170C,OMCL in Yeast,
YER067C-A,OMCL in Yeast,
YCL013W,OMCL in Yeast,
YPR076W,OMCL in Yeast,
YGR151C,OMCL in Yeast,
YFL018W-A,OMCL in Yeast,
YJL067W,OMCL in Yeast,
YGL152C,OMCL in Yeast,
YDR095C,OMCL in Yeast,
YNL013C,OMCL in Yeast,
YLR365W,OMCL in Yeast,
YGR011W,OMCL in Yeast,
YCR022C,OMCL in Yeast,
YLR198C,OMCL in Yeast,
YDL011C,OMCL in Yeast,
YHL037C,OMCL in Yeast,
YGR164W,OMCL in Yeast,
YOR225W,OMCL in Yeast,
YLR202C,OMCL in Yeast,
YKL036C,OMCL in Yeast,
YOR135C,OMCL in Yeast,
YJL018W,OMCL in Yeast,
YFL013W-A,OMCL in Yeast,
YDR187C,OMCL in Yeast,
YGR228W,OMCL in Yeast,
YLL017W,OMCL in Yeast,
YGR259C,OMCL in Yeast,
YOL150C,OMCL in Yeast,
YMR245W,OMCL in Yeast,
YLR379W,OMCL in Yeast,
YNL303W,OMCL in Yeast,
YJL064W,OMCL in Yeast,
YNL109W,OMCL in Yeast,
YDR136C,OMCL in Yeast,
YDL242W,OMCL in Yeast,
YDL158C,OMCL in Yeast,
YCL075W,OMCL in Yeast,
YLR434C,OMCL in Yeast,
YDR209C,OMCL in Yeast,
YAR030C,OMCL in Yeast,
YMR052C-A,OMCL in Yeast,
YLR331C,OMCL in Yeast,
YDR442W,OMCL in Yeast,
YIL059C,OMCL in Yeast,
YOR146W,OMCL in Yeast,
YNL120C,OMCL in Yeast,
YLR261C,OMCL in Yeast,
YGR051C,OMCL in Yeast,
YBR266C,OMCL in Yeast,
YLL037W,OMCL in Yeast,
YGL034C,OMCL in Yeast,
YDL041W,OMCL in Yeast,
YKL031W,OMCL in Yeast,
YKL136W,OMCL in Yeast,
YMR086C-A,OMCL in Yeast,
YGL118C,OMCL in Yeast,
YHR093W,OMCL in Yeast,
YBR190W,OMCL in Yeast,
YGL102C,OMCL in Yeast,
YLR269C,OMCL in Yeast,
YGR069W,OMCL in Yeast,
YOR218C,OMCL in Yeast,
YLR444C,OMCL in Yeast,
YDL134C-A,OMCL in Yeast,
YDR220C,OMCL in Yeast,
YBR089W,OMCL in Yeast,
YGL239C,OMCL in Yeast,
YGL072C,OMCL in Yeast,
YBR012C,OMCL in Yeast,
YMR294W-A,OMCL in Yeast,
YER135C,OMCL in Yeast,
YGL074C,OMCL in Yeast,
YNL228W,OMCL in Yeast,
YPR077C,OMCL in Yeast,
YNL150W,OMCL in Yeast,
YOR200W,OMCL in Yeast,
YDR474C,OMCL in Yeast,
YNL266W,OMCL in Yeast,
YDR417C,OMCL in Yeast,
YDR455C,OMCL in Yeast,
YNL057W,OMCL in Yeast,
YOR282W,OMCL in Yeast,
YDR278C,OMCL in Yeast,
YNL285W,OMCL in Yeast,
YDR008C,OMCL in Yeast,
YGR073C,OMCL in Yeast,
YDR426C,OMCL in Yeast,
YGL041C,OMCL in Yeast,
YMR304C-A,OMCL in Yeast,
YNL198C,OMCL in Yeast,
YGL007W,OMCL in Yeast,
YLR235C,OMCL in Yeast,
YGR114C,OMCL in Yeast,
YMR007W,OMCL in Yeast,
YJL142C,OMCL in Yeast,
YGL217C,OMCL in Yeast,
YDR154C,OMCL in Yeast,
YOR170W,OMCL in Yeast,
YPR014C,OMCL in Yeast,
YPL025C,OMCL in Yeast,
YER091C-A,OMCL in Yeast,
YBR090C-A,OMCL in Yeast,
YPL080C,OMCL in Yeast,
YMR119W-A,OMCL in Yeast,
YOR013W,OMCL in Yeast,
YMR326C,OMCL in Yeast,
YPR039W,OMCL in Yeast,
YER181C,OMCL in Yeast,
YCL023C,OMCL in Yeast,
YNL226W,OMCL in Yeast,
YPR130C,OMCL in Yeast,
YHR125W,OMCL in Yeast,
YDL162C,OMCL in Yeast,
